"","V1","Abstract","Unnamed..0","Authors","Quantitative.Data","Theoretical.Model","Empirical.Model","COMMENT..we.also.need.a.column.indicating.if.degrowth.is.used.as.ex.ante.strategy..as.result..low.negative.growth.as.in.Japan..or.otherwise.confusingly.","Volume","Issue"
"431","435","Avoiding a whole-scale collapse of the civilisation-supporting ecosystems within this century will require a change in the social metabolism, as well as expectations, aspirations, behaviours and attitudes of the majority of the global population, especially in the Global North. In absence of the technological innovation to allow maintenance and expansion of the current energy utilisation by the global society, but without the collapse-inducing byproducts, the societies will require a transformation along the lines of a degrowth scenario. The main goal of this paper is to explore to what extent is environmentally motivated degrowth potential present among European populations on the level of attitudes and evaluation of behaviour. In order to do so we use the ISSP research module Environment survey data from 2011, analysing comparative findings for 18 European 'old' and 'new' democracies. Our findings indicate the prevalence of common awareness of environmental limits to growth among all participating European national populations, but a different potential to apply them in a degrowth scenario between 'richer' and 'poorer' states, as well as between younger and older European degrowthers.",435,"AnÄiÄ B., Domazet M.",1,0,0,"","52","3"
"438","442","The complex relation between energy use and the economic process has long attracted attention. Issues such as the scarcity of energy resources, energy theory of value, degrowth and a-growth approaches are closely related to the relationship between energy and development. The present study traces the implications of the Energy-GDP causality dialogue for the context of the growth-degrowth debate, where the energy-development link plays a decisive role. In that context, the present research investigates the possible existence of a fundamental """"""""macro"""""""" direction of causality between energy use and economic growth that is not influenced by study-specific characteristics and events. Towards this objective, we perform a meta-analysis that takes into account 158 studies on causality between energy and GDP, covering the period 1978-2011. This is the first time, to our knowledge, that meta-analysis has been applied to investigate the direction of the energy and GDP causal relationship. The meta-analysis results neither support the existence of a fundamental """"""""macro"""""""" direction, nor the so-called """"""""neutrality hypothesis (E â  GDP)"""""""" in the causal relationship between energy consumption and economic growth. ",442,"Kalimeris P., Richardson C., Bithas K.",1,0,0,"meta-analysis of 158 studies","67",""
"469","473","Debates on degrowth have mainly focused on theoretical issues, specially around the unsustainability of the current economic model based on growth. Along those lines some scholars have dealt with the opportunities and barriers to voluntary social action for degrowth at a general level. Notwithstanding the key importance of such debates, we argue that local strategies to move towards degrowth are still to be explored. Departing from the specific case of water, in this paper we interrogate the compatibility of non-conventional centralised and decentralised water supply technologies (desalination, reclaimed water reuse, greywater reuse and rainwater harvesting) with degrowth principles. Taking as a case study the Metropolitan Area of Barcelona (Spain), a social multi-criteria evaluation has been performed to explore the feasibility, desirability and acceptability of both models. The paper aims to explore the pros and cons of the different water alternatives in two different (and hypothetic) societies: one based on growth (business-as-usual) and one based on degrowth. The technical analysis reveals that rainwater harvesting and reclaimed water reuse are the most preferred alternatives from a degrowth perspective while reclaimed water reuse and desalination are the most preferred alternatives from a growth perspective. The social multi-criteria analysis also serves to unveil which social actors may favour or block the adoption of each alternative. Notwithstanding that most social groups see desalination as the least desired option, this is the hegemonic non-conventional source in Spain which evidences the prevalence of growth discourses in water management. Local decision-makers, city council managers and environmental groups clearly opt for the promotion of rainwater harvesting and as a result, they appear as potential allies to promote degrowth in water consumption. The social multi-criteria evaluation helps to elucidate the main challenges that need to be addressed in the pursuit of a more sustainable and equitable water management.",473,"DomÃ¨nech L., March H., SaurÃ­ D.",1,0,0,"very messy article, they argue the use data to form scenarios but I hardly see it","38",""
"473","477","The present work contributes to bringing visibility to the part of social work that is referred to as unpaid work. This part of social work remains outside the market, but it is necessary to structure and maintain households, human relationships and communities and providing sustenance and care. It represents a flow of hidden subsidies to the economy mostly shaped, structured and experienced by women. Through an explorative case study in Catalonia, we relate the use of time in Catalan society with the relative consumption of energy. This research strategy allows us to see the dangers of substituting labour and skills from household-based production to the commodity-based economy in terms of an increase in energy demand in a context of the end of cheap oil. On the contrary, from a degrowth perspective we argue that the future adaptability might require policies reallocating resources towards the unpaid and the community.",477,"D'Alisa G., Cattaneo C.",1,0,0,"time use studay based on Catalonia","38",""
"474","478","The belief that it is possible to have a perpetual """"""""economic growth"""""""" based on fossil energy has been challenged since the 1970s. However, only in the last decade is this issue re-emerging once again because of the predicaments of climate change and peak oil. Many, finally start to perceive that an """"""""economic degrowth"""""""" entailing a downscaling of the current size and pattern of socio-economic systems seem unavoidable. In this paper we analyze the implications, the feasibility and the desirability of possible trajectories of downscaling from an energetic perspective. The quantitative analysis is based on the methodological approach of societal metabolism, and it provides a dynamic accounting of the profile of energy flows required and consumed by societies in relation the expression of a given set of societal functions. This analysis makes it possible to check two types of constraints: external constraints (supply and sink side limits for the whole) and internal constraints (the feasibility of energy budget of the various parts of the society expressing the required functions). The analysis of the metabolic pattern of a sample of developed countries is used to discuss possible implications of: (i) demographic changes; (ii) the declining supply of net energy sources, and (iii) the effects of the Jevons' Paradox. Within such an analysis, a few assumptions and recipes of the degrowth movement seem problematic: (i) population is and will remain as a relevant variable to be considered; (ii) the proposed reduction in working hours seem to be impractical unless a major catastrophe will reset current civilization to pre-industrial standards; and (iii) voluntary reduction of personal energy consumption, even if a welcome adjustment, alone will not solve the existing problems. In the final part of the paper, future energetic road maps are questioned within the realm of post-normal science. Can we """"""""plan"""""""" degrowth? If we are serious about the need of doing """"""""something completely different"""""""", societies will have to learn how to deliberate under uncertainty within the realms of flexible management and stop planning for either growth or degrowth. Moreover, before suggesting policies, it would be wise first to try to understand the option space.",478,"Sorman A.H., Giampietro M.",1,0,0,"more of data analysis, no real model behind","38",""
"475","479","After the collapse of the Communist Bloc in the 1990s Cuba experienced a severe economic crisis. In its drastic reduction in fuels, its negative economic growth data due to declining production and consumption rates and in its adaptations to shrinking resources and to local and labor-intensive production modes, this so-called Special Period had elements of an experiment in degrowth. Looking at economic, social and agricultural reactions to the crisis, this paper identifies a consistent commitment to social services, a shift in agricultural methods and a high level of social capital as main reasons for this outcome. Balancing this result with negative implications of the crisis, notably the lack of political freedom and of long-term sustainability, the paper seeks to draw lessons for future degrowth scenarios. ",479,"Borowy I.",1,0,0,"","38",""
"508","512","The focus of this article is on rural-urban (rurban) squatting. The article explains how and why semi-autonomous, small scale, collective economic systems have been established on the Barcelona hills of Collserola which a posteriori can be considered as practical implementations towards degrowth. The authors are first-hand participants in these projects. A qualitative description of the Kan Pasqual and Can Masdeu squat realities is provided, together with an empirical study of energy and time consumption. The results suggest that it is possible to live well within a low-intensity economy. We use the experience from the two squats to question the meaning and definition of degrowth. We argue that degrowth should be a collectively consented choice of life, not an externally-imposed imperative. Degrowth should not be the primer social objective but the outcome of a general transition towards a more democratic and autonomous social and political organization. ",512,"Cattaneo C., GavaldÃ  M.",1,0,0,"","18","6"
"523","530","Small villages in northern Sweden have seen a continuing removal of key services, such as schools, shops and public transport, since the 1970s. Disinvestment in public services has not been strategically planned but has happened in response to population loss and increased costs on a case-by-case basis. More recently, there has been a shift in policy thinking to what might be termed a 'de-growth' approach where digitalisation and increased personal mobility are used to provide new ways of delivering services. The purpose of this paper is to examine the existence of 'resource deserts' in Southern Lapland and the emergence (or consolidation) of village hierarchies in allocating public services. We map out the distribution of neighbourhood services (grocery stores, pre-/schools and petrol pumps) among villages, and explore the lived experiences in accessing these resources in different villages. Our results show that resource deserts clearly exist in the south and east of the region, while villages in the more sparsely populated western mountain areas were generally in a better position to retain resources. We identify a lack of consistent and transparent service planning at the village level as a key shortcoming in municipal and regional service strategies. There appear to be unofficial settlement hierarchies in the differential treatment of villages that are otherwise similar in population size, population change and distance to central places. We find that political decisions on service allocations are likely influenced by several factors. These include legacy effects relating to historic settlement status, the location of villages in relation to key transport or mobility corridors, as well as ideological factors favouring villages with more 'exotic' features and development potential in line with the municipalities' economic, social and political priorities. We finally argue that a shift to de-growth needs to be more strategically planned if it is to eliminate resource deserts and promote equity of service access across all villages. ",530,"Carson D.B., Carson D.A., Lundmark L., Hurtig A.-K.",1,0,0,"case study","200","2"
"526","533","The article discusses the ongoing transition to climate neutrality in 2050 with a focus on the options of green growth, zero growth or de-growth. First, the stylised facts about the greenhouse effect and the status quo are shown with special attention to emerging economies as key contributors to greenhouse gas emissions since 1990. Globally, brown growth is still predominant. Since the Global South has to reduce emissions as much as the Global North, the resourcerich countries in the South face the gravest challenges. Second, different scenarios of the global transition with different combinations of GDP growth and reduction rates of the emission-to-GDP ratio are shown. The result is that both variables are important, but the reduction of the emissions ratio is more important than growth. Zero growth per se is not necessarily effective in reaching the Paris goals. Third, low green growth in the North is advised (under certain conditions also zero growth), and moderate green growth in the South. Zero growth without capital accumulation in a closed economy would terminate capitalism in its common definition, in contrast to zero growth in an open economy. Third, proposals from ecological economics for zero growth and de-growth are diverse and involve significant shortcomings, especially regarding the macroeconomic analysis. ",533,"Priewe J.",1,0,0,"","19","1"
"530","537","This chapter examines the topic of overtourism to propose management solutions for destination degrowth and resilience-building. The authors use a Delphi survey, having as a sample 104 tourism experts who have explored the issue of overtourism either conceptually or empirically. These tourism experts include academics, managers of tourism associations, journalists and German ministriesâ representatives. By exploring their different views the study aims to understand overtourism conceptually and to develop adequate strategies to tackle this phenomenon and its negative outcomes as well as to ensure successful (de)growth.",537,"Fontanari M., Traskevich A., Seraphin H.",1,0,0,"expert survey","",""
"543","550","Big brewing companies often look for sustainable resource and energy management rather than for minimization of negative social impact or maximization of positive ones. That's why sustainable degrowth in production sounds like nightmare to them. Several activities on market such as demand for product personalization force manufacturers' response. But few niche markets with huge personalization potential are still underestimated by big producers. To bridge the gap between company profits and sustainable de-growth, the useful tools for niche market value estimation, which could help in investments decision making, have been worked out. The medical data reports were used to assess the socio-demographic characteristic of customer of gluten-free beer. This market is still in its starting phase as big producers are not especially interested in beer products, which require significant investments in production process. A celiac disease (CD) is chronic inflammatory enteropathy induced with presence of gluten, its prevalence is estimated as 1:100, which suggest that 1 person per 100 absolutely can't drink typical barley/wheat beer. The equations for calculation model were elaborated based on medical reports of CD occurrence in Poland and then in Europe; total population and adult population data in 2013 (Eurostat); the Bart-Haas report of beer production in 2013 and average prices of gluten-free beers manufactured and sold in Europe. The final formulas of beer production increase and the value of gluten-free beer market have been elaborated. Results reveal that almost 6.5 million of adult people in Europe must comply with gluten-free diet. Value of gluten-free beer market in Europe is estimated as 3.3 billion EUR/annual for average price 3 EUR for 0.5 l. Introduction of gluten-free beer into market will increase production by at least 0.1% up to even 1%. It is a value in range of 0.55-5.5 million hectolitres per year. ",550,"Harasym J., Podeszwa T.",1,0,0,"medical survey â gluten-free beer market case","108",""
"548","555","The concept of sustainable tourism emerged as a reaction to the impacts of tourism development. This paper shows the relevance of sustainable tourism to tourism decline and the rising interest in de-growth. Mixed-methods research in the Isle of Man, UK, was carried out by analysing 355 postal questionnaires sent to randomly selected island households, and conducting 32 in-depth personal interviews. The research revealed a series of negative environmental and social consequences of tourism decline in a small island. Such consequences are found to occur despite successful local diversification into other industries, notably offshore finance. Consequences of decline are revealed as tangible, e.g. facilities closure, and as less tangible, e.g. a sense of rejection by off-islanders, and have led to an increasing sense amongst residents of isolation and loss of local attractiveness. Results suggest tourism decline, de-growth and economic replacement require sustainable management in order to facilitate change. Measures such as urban and rural landscape protection, may reduce adverse effects of decline. A re-assessment of the application of the principles of sustainable tourism in the context of decline, rather than development, is needed. ",555,"Canavan B.",1,0,0," Isle of Man, UK, was carried out by analysing 355 postal questionnaires sent to randomly selected island households, and conducting 32 in-depth personal interviews.","22","1"
